Ingredient,impact_factor_final,impact_factor_name_final,impact_value_final,impact_unit_final,ref_amount_final,ref_unit_final
italian bread,,,,,,
ground chicken,,,,,,
corn muffin mix,,,,,,
dried apricot half,,,,,,
green tea powder,,,,,,
amaretto di saronno liqueur,,,,,,
hickory and brown sugar barbecue sauce,,,,,,
italian cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
shin beef,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
strained peaches baby food,,,,,,
sweet marsala wine,,,,,,
white wine,,,,,,
veal mince,,,,,,
instant maple and brown sugar oatmeal,,,,,,
chicken fillet,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,,2.444632694,kg,1,kg
mild curry paste,,,,,,
chicken gumbo soup,,,,,,
dark chocolate brownie mix,,,,,,
agave syrup,,,,,,
honey-roasted ham,,,,,,
root beer,,,,,,
ground deer meat,,,,,,
lecithin granule,,,,,,
diet soda,,,,,,
frozen leaf spinach,,,,,,
eye of round beef steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
whole wheat rigatoni,,,,,,
lemongras,,,,,,
mace blade,,,,,,
shortbread,,,,,,
pork and beans in tomato sauce,,,,,,
pork sirloin roast,,,,,,
dark seedless raisin,,,,,,
fresh lemon rind,abbb1ebb-8443-4b7f-a40b-c56b357dd924_9891d347-28f8-434d-896a-84a19a4c68a6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lemon,0.319866608,kg,1,kg
raw spinach leaf,83a42235-1028-4d5c-8819-4ef04fa10b26_a47ddfcf-af07-4c1a-9914-1e30c941cd19_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for spinach,0.22631143,kg,1,kg
strong black coffee,ac979b92-94ef-4228-a6dd-b4f03f563261_42193bba-bf84-4490-8c69-b6e23048e73d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for coffee, green bean",7.107818888,kg,1,kg
grapeseed oil,,,,,,
stove top chicken stuffing mix,,,,,,
scrod fish,3a41b03d-215c-4b05-b63c-e6ed052e8fdf_cdbf0bef-39f7-46c8-87a2-3f9f679b5bb7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for demersal fish, fresh",2.115661706,kg,1,kg
baharat spice mix,,,,,,
canned pineapple,,,,,,
herbed crouton,,,,,,
dried apple,,,,,,
pecorino pepato cheese,,,,,,
smoked turkey leg,,,,,,
frying chicken,,,,,,
ature marshmallow,,,,,,
rice,5183c021-8c13-47bc-a370-1ee6f9beecc1_f2711295-b251-4171-8316-516c3526b8ff_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for rice, basmati",3.419776821,kg,1,kg
dried fenugreek leaf,,,,,,
mixed green,,,,,,
plain bread crumb,a5fc7f30-04ba-49c7-a292-394a21989a5c_dca5d4c8-0e53-4f11-9df5-418e30a0e49f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for breadcrumbs,1.100980617,kg,1,kg
chicken thigh piece,,,,,,
frozen sliced strawberry,,,,,,
matzo cake meal,,,,,,
sugar snap pea,,,,,,
light non-dairy whipped topping,,,,,,
pastrami,,,,,,
sweetened lime juice,,,,,,
bulgur wheat,,,,,,
medium egg noodle,,,,,,
ground pecan,,,,,,
fresh pear,6bfd8993-8dff-4ae9-abe1-0fd32d2f4700_fb2a172f-2a59-4990-b362-64dd4825550f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for pear,0.481227283,kg,1,kg
medium curry paste,,,,,,
cream of shrimp soup,,,,,,
tang orange crystal,,,,,,
fresh crabmeat,,,,,,
large refrigerated biscuit,,,,,,
crazy salt,,,,,,
vienna bread,,,,,,
raspberry gelatin powder,,,,,,
rose petal,,,,,,
ground lamb,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sheep for slaughtering, live weight",8.700476897,kg,1,kg
cran-raspberry juice,,,,,,
espresso coffee,,,,,,
white chocolate pudding mix,,,,,,
sweet red cherry pepper,65fcd3cc-40ef-4833-8f3a-489d49f37f26_98813ba1-c1a0-469d-99e0-6f2d8453c47d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for bell pepper,2.220600128,kg,1,kg
split yellow lentil,5f1ba7e7-d0da-4603-b0f9-244fe1eee88b_4783e92c-7b3b-5227-8270-18e215988fcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lentil,0.771483329,kg,1,kg
cranberry-orange relish,,,,,,
"lemons, juice and zest of",,,,,,
opal basil,,,,,,
soymilk,dab649af-3a9d-41f3-b120-0884a3bf4e0f_5ee7638a-fd4c-4290-a7eb-8fb7821d891e_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for soybean beverage,0.347871592,kg,1,l
black-eyed pea,,,,,,
turkey slice,,,,,,
green bird's eye chily,,,,,,
garlic alfredo sauce,,,,,,
dipping sauce,,,,,,
liquid egg product,,,,,,
ajvar,,,,,,
celery root,d95393e6-9c4f-4b1d-8876-1d3ad9cec434_d8f9d34c-c3ad-4502-94b1-a4c756553a7c_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for celery,0.565055426,kg,1,kg
clove powder,,,,,,
iced tea mix powder,3f6d0090-fb8d-4637-a65f-87f975facb4e_1942f3d1-fad9-43da-a657-d5920c804cd6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tea, dried",2.029453679,kg,1,kg
poppy seed,,,,,,
buffalo,,,,,,
sharp american cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
hazelnut coffee,,,,,,
"key limes, juice of",,,,,,
apricots in juice,,,,,,
celery rib,d95393e6-9c4f-4b1d-8876-1d3ad9cec434_d8f9d34c-c3ad-4502-94b1-a4c756553a7c_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for celery,0.565055426,kg,1,kg
rump roast,,,,,,
desiccated coconut,,,,,,
chicken consomme,,,,,,
brussels sprout,,,,,,
texas sweet onion,ec3da8f3-f6fd-4421-b153-ae40f27b5188_1945897f-c0a2-4dbf-8397-9fd93e6a9445_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for onion,0.323529993,kg,1,kg
italian vegetable,,,,,,
pastry for a double-crust pie,,,,,,
toothpick,,,,,,
baby back rib rack,,,,,,
hen,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
dried mediterranean oregano,,,,,,
fresh oregano,,,,,,
wooden skewer,2859a011-5248-4975-85e7-a04669a5359f_4ebb2775-2992-43f5-8cc3-053982b40822_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sawnwood, hardwood, raw",83.19551124,kg,1,m3
barley miso,,,,,,
enoki mushroom,,,,,,
raspberry,,,,,,
green bean,,,,,,
hazelnut extract,,,,,,
crystallized ginger,,,,,,
sauerkraut,,,,,,
spice,,,,,,
lean lamb fillet,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,,8.700476897,kg,1,kg
shaoxing wine,,,,,,
yoghurt,da443c0c-6c26-4547-9fe9-3cb30154b0c6_66b93168-8786-438a-9cf9-df6971f31dcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for yogurt, from cow milk",1.872891685,kg,1,kg
fresh spinach leaf,83a42235-1028-4d5c-8819-4ef04fa10b26_a47ddfcf-af07-4c1a-9914-1e30c941cd19_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for spinach,0.22631143,kg,1,kg
baby shrimp,,,,,,
shredded hash brown,,,,,,
razor clam,,,,,,
shell noodle,,,,,,
dried rose petal,,,,,,
deli turkey,,,,,,
pepper,,,,,,
star anise pod,,,,,,
preserved gingerroot,,,,,,
frozen whipped topping,,,,,,
thymol seed,,,,,,
black and red pepper blend,,,,,,
artichoke heart,,,,,,
soybean flmy,7e4c9757-6cc7-42ca-8b5b-29b6d00aeda1_deb4f70c-bf2a-4cd3-bc3b-c71af8820da3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for soybean,1.562425152,kg,1,kg
almond half,,,,,,
mustard green,4bc3b6d0-7d4e-446b-9092-e8dbcc8cc1eb_315e2112-33e3-431d-891c-58a24fee409f_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for mustard,2.12646028,kg,1,kg
katakuriko,,,,,,
turkey bacon,,,,,,
red glazed cherry,,,,,,
grape jelly,,,,,,
fresh wax bean,,,,,,
lean roast beef,,,,,,
laughing cow cheese,,,,,,
live lobster,,,,,,
bugles snack,,,,,,
smoked haddock fillet,,,,,,
plain dorito,,,,,,
coffee ice cube,,,,,,
frozen strawberry daiquiri concentrate,,,,,,
ground star anise,,,,,,
cream of chicken soup,,,,,,
yellow sweet bell pepper,65fcd3cc-40ef-4833-8f3a-489d49f37f26_98813ba1-c1a0-469d-99e0-6f2d8453c47d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for bell pepper,2.220600128,kg,1,kg
chocolate and mint swirled morsel,,,,,,
candy orange slice,,,,,,
instant vanilla pudding and pie filling,,,,,,
cooked couscou,,,,,,
diced potato,,,,,,
unsweetened vanilla,6dbe6cff-ce81-4f84-9316-89475c0e0659_43fdfa7d-a9ad-4919-8368-e82a9142101b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for vanilla,13.44575158,kg,1,kg
stingray,,,,,,
frozen bread dough,,,,,,
whole wheat fusilli,,,,,,
valencia orange,04d10dfa-9fb2-4d59-8fb1-cb6ac04b5059_1f7bbd3e-fcd1-412d-8608-035b855ea735_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for orange, fresh grade",0.28845635,kg,1,kg
refined flmy,,,,,,
grenadine,,,,,,
chuck eye steak,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
unsalted saltine cracker,,,,,,
peppermint stick candy,,,,,,
whole wheat bread cube,,,,,,
red onion,ec3da8f3-f6fd-4421-b153-ae40f27b5188_1945897f-c0a2-4dbf-8397-9fd93e6a9445_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for onion,0.323529993,kg,1,kg
sweet mustard,,,,,,
cherry powdered drink mix,,,,,,
frozen squash,,,,,,
baking chocolate square,,,,,,
unsalted pumpkin seed,,,,,,
light strawberry yogurt,,,,,,
cinnamon apple tea bag,,,,,,
turbinado sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
beef chuck,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
adobo sauce,,,,,,
sea scallop,,,,,,
fruit nectar,,,,,,
vegetarian parmesan cheese,,,,,,
frozen cauliflower,,,,,,
cane syrup,,,,,,
ature peanut butter cup,,,,,,
colby cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
cream,564e1504-faaa-4ffb-a823-3351653311dc_e205cf62-396d-488a-8e2f-71344bbee1aa_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cream, from cow milk",2.52819913,kg,1,kg
's sour cream,,,,,,
dried jalapeno pepper,,,,,,
roasted turkey,,,,,,
smoked beef,,,,,,
passion fruit pulp,,,,,,
double chocolate chunk cookie mix,,,,,,
nam pla,,,,,,
dark roux,,,,,,
dry chili pepper,,,,,,
beef consomme,,,,,,
shortcrust pastry,,,,,,
tabasco sauce,,,,,,
whole unblanched almond,8535c894-ea2d-46e1-96a1-910059a2dd63_0cb00cc5-6a2f-4bce-969e-425b45206734_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for almond,0.944412222,kg,1,kg
crisp chow mein noodle,,,,,,
distilled water,,,,,,
canned tomato,,,,,,
caraway seed,,,,,,
tony chachere's seasoning,,,,,,
campari tomato,b72d9580-130e-4d3b-9392-ec67c00f4b35_34967617-78b9-4120-9fbc-b8bf2d3c115b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, fresh grade",0.519773113,kg,1,kg
cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
rose-scented geranium leaf,,,,,,
sofrito sauce,,,,,,
sesame stick,,,,,,
ladyfinger,,,,,,
cooked zitus,,,,,,
paper towel,,,,,,
baby potato,c4a9f9f1-435c-47d4-9842-fd053c365d69_155158d0-d566-487e-bfae-fff465d5dc52_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for potato,0.336006274,kg,1,kg
brut champagne,,,,,,
vegetarian bacon bit,,,,,,
rice noodle,,,,,,
venison stew meat,,,,,,
japanese eggplant,,,,,,
shredded coconut,,,,,,
mesclun,,,,,,
yolk-free egg noodle,,,,,,
distilled vinegar,,,,,,
zwieback toast,,,,,,
unsweetened frozen blueberry,,,,,,
wafer,,,,,,
lentil soup,,,,,,
cooked chicken breast,,,,,,
butterscotch sundae sauce,,,,,,
texas pete,,,,,,
sour milk,,,,,,
amaretto liqueur,,,,,,
peanut butter morsel,,,,,,
egg roll wrap,,,,,,
bass fillet,,,,,,
raspberry jam,,,,,,
fresh shrimp,,,,,,
corn niblet,,,,,,
potato gnocchi,,,,,,
frozen coconut milk,,,,,,
four cheese blend,,,,,,
salted mixed nut,,,,,,
chicken cutlet,,,,,,
sesame breadstick,,,,,,
dry-roasted pecan,,,,,,
club soda,,,,,,
key lime juice,,,,,,
beef gravy mix,,,,,,
diet sprite,,,,,,
whole wheat linguine,0090bce8-3e50-446d-af0b-9cc5dc427b9a_c7b1f264-abe2-47c4-8fcf-db3229228485_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for wheat flour,0.739714579,kg,1,kg
sourdough bread round,,,,,,
beet juice,,,,,,
lifesavers candy,,,,,,
beef jerky,,,,,,
golden mushroom soup,,,,,,
hokkaido squash,,,,,,
after dinner mint,,,,,,
anchovies packed in oil,,,,,,
spanish olife,492b0d02-a7d2-461a-83cd-b1f69f9e0769_e580a34c-42e2-460d-ac2e-a49bcf0583f2_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for olive,0.418061245,kg,1,kg
fresh sauerkraut,,,,,,
lemon instant pudding and pie filling,,,,,,
butter shortening,,,,,,
frangelico liqueur,,,,,,
dry-roasted unsalted peanut,,,,,,
malt biscuit,,,,,,
whole wheat couscou,,,,,,
fetum,,,,,,
tomatoes seasoned,,,,,,
wagon wheel macaroni,,,,,,
stewing chicken,,,,,,
pineapple juice concentrate,,,,,,
refrigerated crescent roll,,,,,,
rock cornish game hen,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
dried italian seasoning,,,,,,
herb stuffing cube,,,,,,
pimento-stuffed green olife,,,,,,
ground turmeric,,,,,,
powdered milk,1e9f4c72-893d-4091-a717-80724f624d04_b80e26ff-c7bf-4c73-be42-6c29d2eac69c_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for spray-drying of milk,0.610618911,kg,1,kg
bread,,,,,,
chocolate kis,,,,,,
brewed espresso,,,,,,
table cream,564e1504-faaa-4ffb-a823-3351653311dc_e205cf62-396d-488a-8e2f-71344bbee1aa_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cream, from cow milk",2.52819913,kg,1,kg
golden brown sugar,a7edce37-6252-45bf-9c3f-62a56e0d79d7_601aa448-72b2-4c2c-a05a-e185516d62a1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sugar, from sugarcane",0.844260073,kg,1,kg
dried hot red chili pepper,,,,,,
english muffin,,,,,,
white sauce,,,,,,
round loaf italian bread,,,,,,
dried sage,,,,,,
red cinnamon candy,,,,,,
spelt flmy,,,,,,
raw zucchini,bb6521f4-6b41-4f41-bdda-32a31a194892_46df2ebd-bd0c-486b-abd3-cfe904195502_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for zucchini,0.315402265,kg,1,kg
lemon cream-filled vanilla sandwich cookies,,,,,,
cookies & cream ice cream,,,,,,
any desired food coloring,,,,,,
brown bread,,,,,,
soy crumble,7e4c9757-6cc7-42ca-8b5b-29b6d00aeda1_deb4f70c-bf2a-4cd3-bc3b-c71af8820da3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for soybean,1.562425152,kg,1,kg
fresh swordfish steak,,,,,,
submarine bun,,,,,,
pesto sauce mix,,,,,,
roasted cumin seed,,,,,,
whole turkey breast,,,,,,
sandwich bread,,,,,,
kashi golean cereal,,,,,,
irish cream syrup,,,,,,
salsa fresca,,,,,,
long crusty bread,,,,,,
unsalted macadamia nut,,,,,,
poultry,a714b4fb-4fc2-40e3-b5c7-62209dacf63a_2da20646-8adf-460b-bd65-c9fc35494b66_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for chicken for slaughtering, live weight",2.444632694,kg,1,kg
lemon sorbet,,,,,,
apple ring,,,,,,
shiitake mushroom cap,,,,,,
brownie mix,,,,,,
kaffir lime leaf,,,,,,
pot cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
apple cider,,,,,,
green glazed cherry,,,,,,
unbaked deep dish pie pastry,,,,,,
oregano sprig,,,,,,
instant plain oatmeal,,,,,,
greek yogurt,da443c0c-6c26-4547-9fe9-3cb30154b0c6_66b93168-8786-438a-9cf9-df6971f31dcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for yogurt, from cow milk",1.872891685,kg,1,kg
dried fine herb,,,,,,
graham cracker tart crust,,,,,,
dried fig,,,,,,
water,1777d5da-1048-44bf-be57-5d8efdcd419e_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for tap water,7.66E-05,kg,1,kg
dry mixed bean,,,,,,
apricots in syrup,,,,,,
instant rice,cf6e8d40-9765-40c3-82f6-cafce5d9f192_922db745-4df5-4b82-bbb6-98e81e4007d1_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for rice, non-basmati",1.403095628,kg,1,kg
vegetarian chicken bouillon granule,,,,,,
vermouth,,,,,,
dried lime,,,,,,
crunchy cheetos cheese snack,,,,,,
baby octopu,,,,,,
balsamic vinegar,,,,,,
thick bread,,,,,,
lime juice concentrate,,,,,,
shitake mushroom,,,,,,
dried lemon gras,,,,,,
lemon liqueur,,,,,,
season all,,,,,,
short rib,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
potato dinner roll,,,,,,
cornstarch,38747864-a1e3-4d65-bb72-a370325ab2ab_c4ed73ce-ed64-4823-96d9-5661c11c6941_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for maize starch,1.252660728,kg,1,kg
cooking sherry,,,,,,
almond halve,,,,,,
lamb rack,1cd0307c-4575-4e53-9299-a81c76f4eee9_2a80aed2-53c0-4eaa-bae1-829394a7cb32_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for sheep for slaughtering, live weight",8.700476897,kg,1,kg
fruit,,,,,,
cayenne pepper,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
bay scallop,,,,,,
rotini pastum,,,,,,
instant butterscotch pudding mix,,,,,,
instant minced onion,,,,,,
fresh ahi tuna,,,,,,
green coriander,f4308d96-2bdf-4b0a-8196-7c171c5ebaaf_22cdbdf8-05c7-4410-9eff-7b12ff1877b3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for coriander,0.205071438,kg,1,kg
vegetable juice cocktail,,,,,,
chunky tomato,d5755bcc-4d60-42d3-ab28-35e852627be3_03cc9df9-29e5-4ee0-8bff-a70999caffbf_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tomato, processing grade",0.237464718,kg,1,kg
pears in light syrup,,,,,,
hot red pepper flake,,,,,,
smoked pork hock,,,,,,
canned carrot,,,,,,
raspberry sauce,,,,,,
blackberry jelly,,,,,,
roasted garlic and onion spaghetti sauce,,,,,,
clam chowder,,,,,,
unbaked deep-dish pie shell,,,,,,
decorating gel,,,,,,
beef gravy granule,,,,,,
greek olive,492b0d02-a7d2-461a-83cd-b1f69f9e0769_e580a34c-42e2-460d-ac2e-a49bcf0583f2_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for olive,0.418061245,kg,1,kg
golden raisin,,,,,,
candy cane kiss,,,,,,
instant coffee granule,ac979b92-94ef-4228-a6dd-b4f03f563261_42193bba-bf84-4490-8c69-b6e23048e73d_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for coffee, green bean",7.107818888,kg,1,kg
swiss chard,,,,,,
s cocoa powder,,,,,,
butternut squash seed,,,,,,
jim beam bourbon whiskey,,,,,,
dal,5f1ba7e7-d0da-4603-b0f9-244fe1eee88b_4783e92c-7b3b-5227-8270-18e215988fcc_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for lentil,0.771483329,kg,1,kg
rolled oatmeal,18a75664-a503-4b99-87be-e11557cb81f1_396098c0-2dd0-4987-84e3-cd12a3b521b7_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for oat grain,0.726827058,kg,1,kg
clotted cream,564e1504-faaa-4ffb-a823-3351653311dc_e205cf62-396d-488a-8e2f-71344bbee1aa_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cream, from cow milk",2.52819913,kg,1,kg
salt water,,,,,,
nectarine,e25df519-84fa-4e04-b4d6-e53a51ad749e_30df3cb7-d389-4007-a172-ad89e98c3270_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for peach,0.449046846,kg,1,kg
pork fat,751fabb3-cffb-4d21-909e-24a7e392837b_8f5d2384-9122-448e-9930-f052284441ff_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for tallow, unrefined",0.037736148,kg,1,kg
amaretti cookie crumb,,,,,,
sparkling grape juice,,,,,,
english walnut,,,,,,
magic shell ice cream topping,,,,,,
pure vanilla extract,6dbe6cff-ce81-4f84-9316-89475c0e0659_43fdfa7d-a9ad-4919-8368-e82a9142101b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for vanilla,13.44575158,kg,1,kg
hard salami,,,,,,
ciabatta roll,,,,,,
scotch bonnet pepper,9e2a803e-3fc5-43fb-b7d6-139ae91dd72c_6da04e2b-e9e9-5cc4-8227-a5b19b91b936_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for chilli,0.230959987,kg,1,kg
feta cheese,,,,,,
yellow potato,c4a9f9f1-435c-47d4-9842-fd053c365d69_155158d0-d566-487e-bfae-fff465d5dc52_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for potato,0.336006274,kg,1,kg
black bean soup,,,,,,
green salad,,,,,,
konbu,,,,,,
grilled steak,,,,,,
bourbon vanilla,6dbe6cff-ce81-4f84-9316-89475c0e0659_43fdfa7d-a9ad-4919-8368-e82a9142101b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for vanilla,13.44575158,kg,1,kg
gai lan,,,,,,
condensed golden corn soup,,,,,,
diet coke,,,,,,
dark chocolate syrup,,,,,,
turkey part,,,,,,
saskatoon berry,,,,,,
ature oreo cookies,,,,,,
home s salsa,,,,,,
hoagie roll,,,,,,
cracked black pepper,,,,,,
beef,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
horseradish mustard,,,,,,
dried calimyrna fig,,,,,,
tiny pea,7fa95e25-a943-460e-a2a6-aa3da9d35083_0dab73c6-b214-4e9c-8c38-ab49d608637b_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for protein pea,0.41696198,kg,1,kg
garlic granule,,,,,,
california-blend frozen vegetable,,,,,,
purple seedless grape,cb3b1db1-ed6d-46c3-8aca-7732f1e35916_685944f8-452b-4ad4-a01a-863924792f27_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for grape,0.296887007,kg,1,kg
fresh coarse ground black pepper,,,,,,
dried butter bean,,,,,,
black caviar,,,,,,
country ham,7ca37a8a-c233-427a-beb9-0e87e943526f_2c9ff48f-b3da-440d-8502-15b14bfbb150_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for red meat, live weight",16.44247162,kg,1,kg
apple-raspberry juice concentrate,,,,,,
watercress leaf,,,,,,
vermicelli,,,,,,
peanut sauce,,,,,,
dried black turtle bean,,,,,,
pimm,,,,,,
back bacon,,,,,,
angostura worcestershire sauce,,,,,,
brioche bread,,,,,,
dashi stock,,,,,,
lime cordial,,,,,,
ginger in syrup,,,,,,
frozen french-cut green bean,,,,,,
turkey breast,,,,,,
frozen cut green bean,,,,,,
non-pareil,,,,,,
earl grey teabag,,,,,,
white clover blossom,,,,,,
chocolate almond bark,,,,,,
baker's dry milk,,,,,,
parmesan asiago and romano cheese blend,,,,,,
whole chestnut,,,,,,
greek feta cheese,3b2a7b5b-b904-43a2-864d-ab9111d83883_e35863ed-da3f-4255-a90d-623066f43fd3_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for cheese, from cow milk, fresh, unripened",12.48580648,kg,1,kg
red raspberry,,,,,,
dried black fig,,,,,,
yellow hominy,,,,,,
caster,,,,,,
tiny pumpkin,,,,,,
dried black-eyed pea,,,,,,
spinach souffle,,,,,,
orange wedge,04d10dfa-9fb2-4d59-8fb1-cb6ac04b5059_1f7bbd3e-fcd1-412d-8608-035b855ea735_07e6ca75-ea62-4fad-afa1-e11b03a2071f,"market for orange, fresh grade",0.28845635,kg,1,kg
adobo seasoning,,,,,,
mixed berry,,,,,,
five cheese blend,,,,,,
white corn syrup,,,,,,
mexican oregano,,,,,,
head of cabbage,649d729a-040d-4ce7-b44e-97d981db3e32_75db30ea-bc22-4827-9784-07ac2523b3d6_07e6ca75-ea62-4fad-afa1-e11b03a2071f,market for cabbage white,0.415182732,kg,1,kg
